first,last,user,match_request,time_since_last
1455298811.95488,1455298856.85845,2,false,15239.860769987106
1455299887.40181,1455299988.09792,13,false,57255.75864982605
1455301439.25973,1455301439.74331,375,false,1226.1127500534058
1455300219.40978,1455300466.50529,138,true,3636.888950109482
1455300522.15357,1455300563.27132,378,false,1248.5886998176575
1455300651.59935,1455300658.57626,335,false,2047.202719926834
1455319226.16955,1455319226.43479,1,false,2091.421040058136
1455301439.25973,1455301439.74331,375,false,1226.1127500534058
1455301667.36747,1455301682.92782,377,false,2767.9198100566864
1455305983.72086,1455306321.33324,382,true,3626.4182000160217
1455319226.16955,1455319226.43479,1,false,2091.421040058136
1455303373.73756,1455303393.26583,379,false,3471.9642400741577
1455305288.51274,1455305422.60682,390,true,919.7169098854065
1455307329.29139,1455307334.35716,191,false,1316.748440027237
1455305983.72086,1455306321.33324,382,true,3626.4182000160217
1455320191.20802,1455320256.79243,139,false,3528.698869943619
1455306674.06036,1455306698.51902,355,false,9214.004260063171
1455307329.29139,1455307334.35716,191,false,1316.748440027237
1455307368.06416,1455312524.0936,170,true,3659.5223500728607
1455317292.16964,1455317299.64201,176,false,8975.329400062561
1455311873.21992,1455314974.14799,383,true,3472.1466999053955
1455309714.99298,1455309759.61493,327,true,41130.36406993866
1455309780.24961,1455311554.58989,388,false,6930.091680049896
1455316188.67884,1455316315.44936,398,false,4632.7535400390625
1455311873.21992,1455314974.14799,383,true,3472.1466999053955
1455312804.81108,1455312828.36339,401,false,1251.1912500858307
1455316181.2158,1455320190.42078,,false,1035.182510137558
1455316188.67884,1455316315.44936,398,false,4632.7535400390625
1455320191.20802,1455320256.79243,139,false,3528.698869943619
1455319226.16955,1455319226.43479,1,false,2091.421040058136
1455317292.16964,1455317299.64201,176,false,8975.329400062561
1455319226.16955,1455319226.43479,1,false,2091.421040058136
1455320191.20802,1455320256.79243,139,false,3528.698869943619
1455319226.16955,1455319226.43479,1,false,2091.421040058136
1455298811.95488,1455298856.85845,2,false,15239.860769987106
1455279866.38003,1455280168.12147,3,true,73198.64609980583
1455299887.40181,1455299988.09792,13,false,57255.75864982605
1455289105.91845,1455290241.50237,15,true,0
1455282496.30177,1455282887.69618,25,true,8162.23811006546
1455242054.00601,1455242497.28719,36,true,13391.58903002739
1455281109.30316,1455282954.55444,41,true,14643.098549842834
1455280400.35754,1455280414.26886,102,false,3175.2940199375153
1455300219.40978,1455300466.50529,138,true,3636.888950109482
1455320191.20802,1455320256.79243,139,false,3528.698869943619
1455317656.42964,1455317836.33369,159,true,102764.86580014229
1455246111.47072,1455246155.6321,168,false,5793.248450040817
1455307368.06416,1455312524.0936,170,true,3659.5223500728607
1455317292.16964,1455317299.64201,176,false,8975.329400062561
1455265729.74531,1455266428.29509,190,true,51046.765769958496
1455307329.29139,1455307334.35716,191,false,1316.748440027237
1455280149.03007,1455280571.10695,198,true,2821.0816700458527
